problem,text
partialWordle," The function takes in two parameters, the first is guessList which is a list of string that represents words to guess. The second parameter, hiddenWord is the actual word but it is hidden from the user. The output is a list of integers representing how many characters are guessed correctly from the hiddenWord."
partialWordle," ""produce the number of characters in hiddenWord appeared in guessList for each item in guessList"""
partialWordle," Write a function that gets a list of strings and the hidden word (a string separated by a comma). From the list of strings, compare each letter from the strings in the list with the hidden words and return a list with the number of how many similar letters both strings share."
partialWordle," Your goal for this function, is when given a lost of strings and a hidden word is to return the how many letters match the hidden word"
partialWordle, takes a list of words and one word and returns the number of times the a word in the list of words matches with the one word.
partialWordle," if characters in the string are equal to characters to an item in the list, increase the value of the integer by 1"
partialWordle, The function shows how many characters each string within the list has in common with the string outside the list.
layoverTrips, This function prints the final dest
layoverTrips," given a list of dictionaries, and a string the expected output should be a list of strings that contain the value of"
layoverTrips, Read t
layoverTrips, find your two favorite airports from an input. put them in a list!
subtract_add," Turns all the elements in lst into integers, then finds the sum of all the elements in the list excluding the last one. Then it subtracts the last element from the sum. If the list is empty, it returns 0"
subtract_add," subtracts the first and second integers in the list and returns the final integer, with an empty list, 0 is returned"
subtract_add, Take the first two items in the array list and change them into integers then take the proceeding two integers and subtract them at the two sums return the product. if there are just two items in the list subtract the second one from the first one and return the product. if there are no items then return zero
findHorizontals," Scan each entry for the first complete word, then return that word and it's index"
findHorizontals," compares first list to second list and counts if the first list's values' letters match a value in the second list. If they match perfectly, returns 3 as a count returns dictionary with keys as the second list, and values as the counts"
findHorizontals," count how many elements in first list include characters from each element in second list. If more than 0 and in the same order as the element in second list, add to dictionary with count as value. If not in the same order, add 0 as value"
findHorizontals," Returns a list of dictionaries, where the name of the dictionary is the word that repeats in the second input list. Each dictionary contains a number."
findHorizontals, Given two lists
add_up," Add together each number in the list. If there is a string, and the word inside is a number in written form, add that number too."
add_word, Count the number of unique strings in a set and return each unique string
check_for_aspen," Given a dictionary with values, if the total of the values when added together is greater than 10 return Nope, otherwise return Yup"
